,SubjectID,context,speaker,meanACC,meanRT,Hits,FAlarms,miss,cr,n,pH,pFA,dprime,pair,pu,vvl,cloze
152,201,Final,L2,0.972222222,965.2497222,4,0,1,31,36,0.8,0.0135,3.053139043,hq,control,ccontrol,0.25
153,201,Medial,L2,0.774193548,1047.437419,3,1,6,21,31,0.333333333,0.045454545,1.25989433,qR,control,ccontrol,0.25
154,201,Final,L2,1,1024.963125,0,0,0,16,16,NA,0.0135,NA,hr,control,ccontrol,0.25
155,201,Final,L2,0.966666667,1015.488333,0,0,1,29,30,0.125,0.0135,1.061168429,hH,control,ccontrol,0.25
156,201,Final,L2,0.875,1013.830625,2,1,3,26,32,0.4,0.037037037,1.532808458,Az,control,ccontrol,0.25
157,202,Medial,L2,0.90625,877.246875,4,0,3,25,32,0.571428571,0.0135,2.391530179,xz,control,ccontrol,0.416666667
158,202,Initial,L2,1,795.4256667,4,0,0,26,30,0.875,0.0135,3.36186719,As,control,ccontrol,0.416666667
159,202,Medial,L2,1,867.0059375,4,0,0,28,32,0.875,0.0135,3.36186719,AH,pharyngeal,ccontrol,0.416666667
160,202,Medial,L2,0.903225806,892.4651613,2,2,1,26,31,0.666666667,0.071428571,1.895961092,Rx,uvular,ccontrol,0.416666667
161,202,Initial,L2,0.814814815,805.9048148,1,3,2,21,27,0.333333333,0.125,0.719622081,Rx,uvular,ccontrol,0.416666667
162,202,Initial,L2,0.925925926,804.2718519,4,0,2,21,27,0.666666667,0.0135,2.642245108,AR,control,voiced,0.416666667
163,202,Medial,L2,0.96875,1024.0225,4,0,1,27,32,0.8,0.0135,3.053139043,As,control,ccontrol,0.416666667
164,202,Medial,L2,0.935483871,967.1780645,4,0,2,25,31,0.666666667,0.0135,2.642245108,qR,control,ccontrol,0.416666667
165,202,Initial,L2,1,767.4125,4,0,0,24,28,0.875,0.0135,3.36186719,Ax,control,ccontrol,0.416666667
166,202,Initial,L2,0.818181818,865.1236364,0,0,2,9,11,0.125,0.0135,1.061168429,Rz,control,ccontrol,0.416666667
167,202,Initial,L2,1,896.934375,4,0,0,28,32,0.875,0.0135,3.36186719,Hs,control,ccontrol,0.416666667
168,202,Final,L2,0.944444444,992.0419444,4,0,2,30,36,0.666666667,0.0135,2.642245108,hq,control,ccontrol,0.416666667
169,202,Medial,L2,0.870967742,923.3858065,4,0,4,23,31,0.5,0.0135,2.211517809,Rz,control,ccontrol,0.416666667
170,202,Initial,L2,1,871.427931,3,0,0,26,29,0.875,0.0135,3.36186719,qs,control,ccontrol,0.416666667
171,202,Initial,L2,1,814.7946667,4,0,0,26,30,0.875,0.0135,3.36186719,sx,control,ccontrol,0.416666667
172,202,Medial,L2,1,802.1692857,0,0,0,14,14,NA,0.0135,NA,hr,control,ccontrol,0.416666667
173,202,Medial,L2,0.9375,1014.389063,4,0,2,26,32,0.666666667,0.0135,2.642245108,qs,control,ccontrol,0.416666667
174,202,Medial,L2,1,889.52375,4,0,0,28,32,0.875,0.0135,3.36186719,Ah,control,ccontrol,0.416666667
175,202,Initial,L2,1,804.4632143,4,0,0,24,28,0.875,0.0135,3.36186719,qx,control,ccontrol,0.416666667
176,202,Initial,L2,0.925925926,857.6062963,4,0,2,21,27,0.666666667,0.0135,2.642245108,qR,control,ccontrol,0.416666667
177,202,Medial,L2,1,798.5784375,4,0,0,28,32,0.875,0.0135,3.36186719,Hx,control,voiceless,0.416666667
178,202,Medial,L2,0.96875,949.3559375,4,0,1,27,32,0.8,0.0135,3.053139043,sx,control,ccontrol,0.416666667
179,202,Initial,L2,0.833333333,950.6158333,0,0,2,10,12,0.125,0.0135,1.061168429,hr,control,ccontrol,0.416666667
180,202,Final,L2,0.882352941,1018.775882,3,0,4,27,34,0.428571429,0.0135,2.031505439,Ax,control,ccontrol,0.416666667
181,202,Medial,L2,1,814.1625,4,0,0,28,32,0.875,0.0135,3.36186719,hx,control,ccontrol,0.416666667
182,202,Medial,L2,0.96875,879.980625,4,0,1,27,32,0.8,0.0135,3.053139043,qx,control,ccontrol,0.416666667
183,202,Initial,L2,0.928571429,833.88,4,0,2,22,28,0.666666667,0.0135,2.642245108,Ah,control,ccontrol,0.416666667
184,202,Initial,L2,0.923076923,905.9634615,0,0,2,24,26,0.125,0.0135,1.061168429,hH,control,ccontrol,0.416666667
185,202,Initial,L2,0.833333333,950.6158333,0,0,2,10,12,0.125,0.0135,1.061168429,hz,control,ccontrol,0.416666667
186,202,Medial,L2,0.9,876.7296667,2,0,3,25,30,0.4,0.0135,1.958170706,hz,control,ccontrol,0.416666667
187,202,Initial,L2,1,880.7657143,0,0,0,14,14,NA,0.0135,NA,sz,control,ccontrol,0.416666667
188,202,Initial,L2,1,789.0136667,4,0,0,26,30,0.875,0.0135,3.36186719,AH,pharyngeal,ccontrol,0.416666667
