"","SubjectID","context","phoneme_pair","max"
"2379",253,"F","AH",4
"2380",253,"F","Aq",4
"2381",253,"F","AR",4
"2382",253,"F","As",4
"2383",253,"F","Ax",4
"2384",253,"F","Az",4
"2385",253,"F","hh",16
"2386",253,"F","hH",4
"2387",253,"F","HH",14
"2388",253,"F","hq",4
"2389",253,"F","Hq",4
"2390",253,"F","hR",2
"2391",253,"F","HR",6
"2392",253,"F","hs",4
"2393",253,"F","Hs",4
"2394",253,"F","hx",4
"2395",253,"F","Hx",4
"2396",253,"F","hz",2
"2397",253,"F","Hz",6
"2398",253,"F","qq",16
"2399",253,"F","qR",4
"2400",253,"F","qs",4
"2401",253,"F","qx",4
"2402",253,"F","qz",4
"2403",253,"F","RR",16
"2404",253,"F","Rs",4
"2405",253,"F","Rx",4
"2406",253,"F","Rz",4
"2407",253,"F","ss",14
"2408",253,"F","sx",4
"2409",253,"F","sz",4
"2410",253,"F","xx",16
"2411",253,"F","xz",4
"2412",253,"F","zz",14
"2413",253,"I","AA",12
"2414",253,"I","Ah",4
"2415",253,"I","AH",4
"2416",253,"I","Aq",4
"2417",253,"I","AR",4
"2418",253,"I","As",4
"2419",253,"I","Ax",4
"2420",253,"I","Az",4
"2421",253,"I","hh",12
"2422",253,"I","hH",4
"2423",253,"I","HH",14
"2424",253,"I","hq",2
"2425",253,"I","Hq",6
"2426",253,"I","hR",4
"2427",253,"I","HR",4
"2428",253,"I","hs",4
"2429",253,"I","Hs",4
"2430",253,"I","hx",4
"2431",253,"I","Hx",4
"2432",253,"I","hz",2
"2433",253,"I","Hz",6
"2434",253,"I","qq",12
"2435",253,"I","qR",4
"2436",253,"I","qs",4
"2437",253,"I","qx",4
"2438",253,"I","qz",4
"2439",253,"I","RR",12
"2440",253,"I","Rs",4
"2441",253,"I","Rx",4
"2442",253,"I","Rz",4
"2443",253,"I","ss",14
"2444",253,"I","sx",4
"2445",253,"I","sz",4
"2446",253,"I","xx",12
"2447",253,"I","xz",4
"2448",253,"I","zz",14
"2449",253,"M","AA",14
"2450",253,"M","Ah",4
"2451",253,"M","AH",4
"2452",253,"M","Aq",4
"2453",253,"M","AR",4
"2454",253,"M","As",4
"2455",253,"M","Ax",4
"2456",253,"M","Az",4
"2457",253,"M","hh",14
"2458",253,"M","hH",4
"2459",253,"M","HH",14
"2460",253,"M","hq",2
"2461",253,"M","Hq",6
"2462",253,"M","hR",4
"2463",253,"M","HR",4
"2464",253,"M","hs",4
"2465",253,"M","Hs",4
"2466",253,"M","hx",4
"2467",253,"M","Hx",4
"2468",253,"M","hz",2
"2469",253,"M","Hz",6
"2470",253,"M","qq",14
"2471",253,"M","qR",4
"2472",253,"M","qs",4
"2473",253,"M","qx",4
"2474",253,"M","qz",4
"2475",253,"M","RR",14
"2476",253,"M","Rs",4
"2477",253,"M","Rx",4
"2478",253,"M","Rz",4
"2479",253,"M","ss",14
"2480",253,"M","sx",4
"2481",253,"M","sz",4
"2482",253,"M","xx",14
"2483",253,"M","xz",4
"2484",253,"M","zz",14
"2485",254,"F","AA",16
"2486",254,"F","Ah",4
"2487",254,"F","AH",4
"2488",254,"F","Aq",4
"2489",254,"F","AR",4
"2490",254,"F","As",4
"2491",254,"F","Ax",4
"2492",254,"F","Az",4
"2493",254,"F","hh",16
"2494",254,"F","hH",4
"2495",254,"F","HH",14
"2496",254,"F","hq",4
"2497",254,"F","Hq",4
"2498",254,"F","hR",2
"2499",254,"F","HR",6
"2500",254,"F","hs",4
"2501",254,"F","Hs",4
"2502",254,"F","hx",4
"2503",254,"F","Hx",4
"2504",254,"F","hz",2
"2505",254,"F","Hz",6
"2506",254,"F","qq",16
"2507",254,"F","qR",4
"2508",254,"F","qs",4
"2509",254,"F","qx",4
"2510",254,"F","qz",4
"2511",254,"F","RR",16
"2512",254,"F","Rs",4
"2513",254,"F","Rx",4
"2514",254,"F","Rz",4
"2515",254,"F","ss",14
"2516",254,"F","sx",4
"2517",254,"F","sz",4
"2518",254,"F","xx",16
"2519",254,"F","xz",4
"2520",254,"F","zz",14
"2521",254,"I","AA",12
"2522",254,"I","Ah",4
"2523",254,"I","AH",4
"2524",254,"I","Aq",4
"2525",254,"I","AR",4
"2526",254,"I","As",4
"2527",254,"I","Ax",4
"2528",254,"I","Az",4
"2529",254,"I","hh",12
"2530",254,"I","hH",4
"2531",254,"I","HH",14
"2532",254,"I","hq",2
"2533",254,"I","Hq",6
"2534",254,"I","hR",4
"2535",254,"I","HR",4
"2536",254,"I","hs",4
"2537",254,"I","Hs",4
"2538",254,"I","hx",4
"2539",254,"I","Hx",4
"2540",254,"I","hz",2
"2541",254,"I","Hz",6
"2542",254,"I","qq",12
"2543",254,"I","qR",4
"2544",254,"I","qs",4
"2545",254,"I","qx",4
"2546",254,"I","qz",4
"2547",254,"I","RR",12
"2548",254,"I","Rs",4
"2549",254,"I","Rx",4
"2550",254,"I","Rz",4
"2551",254,"I","ss",14
"2552",254,"I","sx",4
"2553",254,"I","sz",4
"2554",254,"I","xx",12
"2555",254,"I","xz",4
"2556",254,"I","zz",14
"2557",254,"M","AA",14
"2558",254,"M","Ah",4
"2559",254,"M","AH",4
"2560",254,"M","Aq",4
"2561",254,"M","AR",4
"2562",254,"M","As",4
"2563",254,"M","Ax",4
"2564",254,"M","Az",4
"2565",254,"M","hh",14
"2566",254,"M","hH",4
"2567",254,"M","HH",14
"2568",254,"M","hq",2
"2569",254,"M","Hq",6
"2570",254,"M","hR",4
"2571",254,"M","HR",4
"2572",254,"M","hs",4
"2573",254,"M","Hs",4
"2574",254,"M","hx",4
"2575",254,"M","Hx",4
"2576",254,"M","hz",2
"2577",254,"M","Hz",6
"2578",254,"M","qq",14
"2579",254,"M","qR",4
"2580",254,"M","qs",4
"2581",254,"M","qx",4
"2582",254,"M","qz",4
"2583",254,"M","RR",14
"2584",254,"M","Rs",4
"2585",254,"M","Rx",4
"2586",254,"M","Rz",4
"2587",254,"M","ss",14
"2588",254,"M","sx",4
"2589",254,"M","sz",4
"2590",254,"M","xx",14
"2591",254,"M","xz",4
"2592",254,"M","zz",14
"2593",255,"F","AA",16
"2594",255,"F","Ah",4
"2595",255,"F","AH",4
"2596",255,"F","Aq",4
"2597",255,"F","AR",4
"2598",255,"F","As",4
"2599",255,"F","Ax",4
"2600",255,"F","Az",4
"2601",255,"F","hh",16
"2602",255,"F","hH",4
"2603",255,"F","HH",14
"2604",255,"F","hq",4
"2605",255,"F","Hq",4
"2606",255,"F","hR",2
"2607",255,"F","HR",6
"2608",255,"F","hs",4
"2609",255,"F","Hs",4
"2610",255,"F","hx",4
"2611",255,"F","Hx",4
"2612",255,"F","hz",2
"2613",255,"F","Hz",6
"2614",255,"F","qq",16
"2615",255,"F","qR",4
"2616",255,"F","qs",4
"2617",255,"F","qx",4
"2618",255,"F","qz",4
"2619",255,"F","RR",16
"2620",255,"F","Rs",4
"2621",255,"F","Rx",4
"2622",255,"F","Rz",4
"2623",255,"F","ss",14
"2624",255,"F","sx",4
"2625",255,"F","sz",4
"2626",255,"F","xx",16
"2627",255,"F","xz",4
"2628",255,"F","zz",14
"2629",255,"I","AA",12
"2630",255,"I","Ah",4
"2631",255,"I","AH",4
"2632",255,"I","Aq",4
"2633",255,"I","AR",4
"2634",255,"I","As",4
"2635",255,"I","Ax",4
"2636",255,"I","Az",4
"2637",255,"I","hh",12
"2638",255,"I","hH",4
"2639",255,"I","HH",14
"2640",255,"I","hq",2
"2641",255,"I","Hq",6
"2642",255,"I","hR",4
"2643",255,"I","HR",4
"2644",255,"I","hs",4
"2645",255,"I","Hs",4
"2646",255,"I","hx",4
"2647",255,"I","Hx",4
"2648",255,"I","hz",2
"2649",255,"I","Hz",6
"2650",255,"I","qq",12
"2651",255,"I","qR",4
"2652",255,"I","qs",4
"2653",255,"I","qx",4
"2654",255,"I","qz",4
"2655",255,"I","RR",12
"2656",255,"I","Rs",4
"2657",255,"I","Rx",4
"2658",255,"I","Rz",4
"2659",255,"I","ss",14
"2660",255,"I","sx",4
"2661",255,"I","sz",4
"2662",255,"I","xx",12
"2663",255,"I","xz",4
"2664",255,"I","zz",14
"2665",255,"M","AA",14
"2666",255,"M","Ah",4
"2667",255,"M","AH",4
"2668",255,"M","Aq",4
"2669",255,"M","AR",4
"2670",255,"M","As",4
"2671",255,"M","Ax",4
"2672",255,"M","Az",4
"2673",255,"M","hh",14
"2674",255,"M","hH",4
"2675",255,"M","HH",14
"2676",255,"M","hq",2
"2677",255,"M","Hq",6
"2678",255,"M","hR",4
"2679",255,"M","HR",4
"2680",255,"M","hs",4
"2681",255,"M","Hs",4
"2682",255,"M","hx",4
"2683",255,"M","Hx",4
"2684",255,"M","hz",2
"2685",255,"M","Hz",6
"2686",255,"M","qq",14
"2687",255,"M","qR",4
"2688",255,"M","qs",4
"2689",255,"M","qx",4
"2690",255,"M","qz",4
"2691",255,"M","RR",14
"2692",255,"M","Rs",4
"2693",255,"M","Rx",4
"2694",255,"M","Rz",4
"2695",255,"M","ss",14
"2696",255,"M","sx",4
"2697",255,"M","sz",4
"2698",255,"M","xx",14
"2699",255,"M","xz",4
"2700",255,"M","zz",14
"2701",256,"F","AA",16
"2702",256,"F","Ah",4
"2703",256,"F","AH",4
"2704",256,"F","Aq",4
"2705",256,"F","AR",4
"2706",256,"F","As",4
"2707",256,"F","Ax",4
"2708",256,"F","Az",4
"2709",256,"F","hh",16
"2710",256,"F","hH",4
"2711",256,"F","HH",14
"2712",256,"F","hq",4
"2713",256,"F","Hq",4
"2714",256,"F","hR",2
"2715",256,"F","HR",6
"2716",256,"F","hs",4
"2717",256,"F","Hs",4
"2718",256,"F","hx",4
"2719",256,"F","Hx",4
"2720",256,"F","hz",2
"2721",256,"F","Hz",6
"2722",256,"F","qq",16
"2723",256,"F","qR",4
"2724",256,"F","qs",4
"2725",256,"F","qx",4
"2726",256,"F","qz",4
"2727",256,"F","RR",16
"2728",256,"F","Rs",4
"2729",256,"F","Rx",4
"2730",256,"F","Rz",4
"2731",256,"F","ss",14
"2732",256,"F","sx",4
"2733",256,"F","sz",4
"2734",256,"F","xx",16
"2735",256,"F","xz",4
"2736",256,"F","zz",14
"2737",256,"I","AA",12
"2738",256,"I","Ah",4
"2739",256,"I","AH",4
"2740",256,"I","Aq",4
"2741",256,"I","AR",4
"2742",256,"I","As",4
"2743",256,"I","Ax",4
"2744",256,"I","Az",4
"2745",256,"I","hh",12
"2746",256,"I","hH",4
"2747",256,"I","HH",14
"2748",256,"I","hq",2
"2749",256,"I","Hq",6
"2750",256,"I","hR",4
"2751",256,"I","HR",4
"2752",256,"I","hs",4
"2753",256,"I","Hs",4
"2754",256,"I","hx",4
"2755",256,"I","Hx",4
"2756",256,"I","hz",2
